vehiculo,nombre,posicion,stock_estado,ubicacion,precio,ultimo_precio,venta,nota,observaciones
OTROS,,,,,,,,,Nombre vacío; Sin estado de stock; Sin ubicación
OTROS,,,,,,,,,Nombre vacío; Sin estado de stock; Sin ubicación
OTROS,,,,,,,,,Nombre vacío; Sin estado de stock; Sin ubicación
OTROS,,,,,,,,,Nombre vacío; Sin estado de stock; Sin ubicación
116I 2006,Airbag De Cortina,Izquierda,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,
116I 2006,Airbag De Cortina,Derecha,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,
116I 2006,Alternador,,VENDIDO,SANTIAGO,90000.0,85000.0,,,
116I 2006,Amortiguador,Delantera Izquierda,VENDIDO,SANTIAGO,55000.0,50000.0,,,
116I 2006,Amortiguador,Delantera Derecha,VENDIDO,SANTIAGO,90000.0,80000.0,,,
116I 2006,Amortiguador,Izquierda Portalon,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Amortiguador,Derecha Portalon,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Amortiguador,Trasera Izquierda,VENDIDO,SANTIAGO,30000.0,25000.0,,,
116I 2006,Amortiguador,Trasera Derecha,VENDIDO,SANTIAGO,30000.0,25000.0,,,
116I 2006,Amplificador,,VENDIDO,SANTIAGO,,,,,
116I 2006,Antena,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Asiento,Delantera Izquierda,NO DISPONIBLE,N/A,,MALO,,,
116I 2006,Asiento,Delantera Derecha,DISPONIBLE,SANTIAGO,60000.0,50000.0,,,
116I 2006,Asientos,Trasera,DISPONIBLE,REQUINOA,60000.0,50000.0,,,
116I 2006,Auxiliar,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Bandeja,Delantera Inferior Izquierda,VENDIDO,SANTIAGO,45000.0,40000.0,,PEQUEÑA,
116I 2006,Bandeja,Delantera Inferior Derecha,VENDIDO,SANTIAGO,45000.0,40000.0,,PEQUEÑA,
116I 2006,Bandeja,Delantera Superior Izquierda,VENDIDO,SANTIAGO,50000.0,45000.0,,GRANDE,
