vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
SM3 2011,CANISTER,Canister,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,5da93f348120443a1ef5657869ae3dba90618dc934eab5dcf54f0a18e4571c5c,75,NO
SM3 2011,CAÑERÍAS DE AIRE ACONDICIONADO,Cañerías DE AIRE Acondicionado,,DISPONIBLE,REVISADO,0,0,,,AIRE mal escrito (debería ser AIRE); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,a9d55d9ab0862552df561d0c498415f9a8b1b0ff8a30ff1d6f0391bb03970397,65,SI
SM3 2011,CAPOT CON DETALLE,CAPÓ CON Detalle,,DISPONIBLE,REVISADO,10000.0,10000.0,,,CAPOT mal escrito (debería ser CAPÓ); CAPO mal escrito (debería ser CAPÓ); Estado 'CON DETALLE' detectado - revisar si es válido; Estado 'DETALLE' detectado - revisar si es válido,2025-10-20 02:14:41,36c2929d24169a5d30c6a035465612ff5a706442212f9ed9b584b8abe8ad19a4,70,NO
SM3 2011,CHAPA MALETA,Chapa Maleta,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,86247fb038ba5d36e6ec263b43da3422d7fce3a2ac81e3cfa879dcde56efb95e,75,NO
SM3 2011,CHAPA PUERTA DELANTERA LH,Chapa Puerta,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,20175678d0c09b5a259375b515f5541316367d29f8c7edef0aded556bba78ed1,75,NO
SM3 2011,CHAPA PUERTA DELANTERA RH,Chapa Puerta,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,c88a4374f4aa10da7fddb3db4b34ca451619c7f1f02da2bcfffaa681c7158c5a,75,NO
SM3 2011,CHAPA PUERTA TRASERA RH,Chapa Puerta,Derecha Trasera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,2f2c9285e777b0d1fd593b112efa4ed3d0ce2cb08781054d2361af33e4e677a9,75,NO
SM3 2011,CINTA DE AIRBAG,Cinta DE Airbag,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,f13e2ac36bba8ef0a7b2f8ff50e55a0810bbf795f1d3d9e497f7ec944e0e1747,75,NO
SM3 2011,COFIA,Cofia,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,9e47130fabd2a19f174e87d4fd78c798f64746211704d79937a89c29eda7f747,75,NO
SM3 2011,COLUMNA DE DIRECCIÓN,Columna DE Dirección,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,634ab9fa78e898fbf86e744f9fcd961a6477f7c818009177208e839b1dbeacbf,75,NO
SM3 2011,CONTROL DE CALEFACCIÓN,Control DE Calefacción,,DISPONIBLE,REVISADO,0,0,,,CONTROL mal escrito (debería ser CONTROL); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,2ec0e0a886b5044a4d74bd25643853920c976bf2bed1403f251f5978e224ef77,65,SI
